Year,GDP_USD,CO_mean,NDVI_mean,NightLights_std,Precip_mean,LST_mean,LST_std,LST_max,GDP_Growth_Rate,FDI_percent_GDP,Gross_capital_formation_percent,Agriculture_percent_GDP,Cereal_yield_kg_per_ha,Inflation_rate,Manufacturing_percent_GDP,Current_Account_GDP,Food_production_index,salaire maroc,exportation maroc
2010,100865329473.44,0.0256797315749874,0.222268500165768,0.0539850548070212,37.16622575507284,31.110335167035203,9.3960675411291,43.69274621002319,3.49955709403216,1.2299824583835,31.4907166374774,11.9620812709231,1547.5,0.993557401226392,14.8171920253699,-4.0,92.59,14.916666666666666,0.8333333333333334
2011,110080631332.375,0.0256797315749874,0.2203195269117673,0.0539850548070212,28.786547506681387,31.12001549784343,9.112014313077236,41.90050029580101,5.52464523319847,2.29046840496639,32.9462436922694,12.0819026098454,1614.4,0.9069249096918,14.6656401995519,-7.3,96.03,15.666666666666666,1.3333333333333333
2012,106937392311.129,0.0256797315749874,0.2094955606506779,0.0539850548070212,26.294419464878278,31.6104509137964,10.196459079341928,43.84122792677988,3.06234368502997,2.65758712641507,32.1793544302158,11.3297511522793,1016.6,1.28712240079219,14.3615270032686,-8.8,92.22,13.166666666666666,0.75
2013,115739287305.08,0.0256797315749874,0.2158882301115562,0.0539850548070212,23.21870860009945,32.06199131282719,9.608249811266704,44.83187539146218,4.12221286860944,2.9038626404404,32.0046200923723,12.3583661932506,1828.3,1.88065466724086,14.5581548719729,-6.8,98.4,13.583333333333334,1.1666666666666667
2014,119130841411.664,0.0256797315749874,0.1997702408478607,0.0539850548070212,30.692366295946243,31.75644436211667,9.553088746676076,42.98883682790131,2.7192440802029,2.95925435484489,30.7742542343433,10.3531465249527,1454.3,0.442310053557048,15.3452879513188,-5.5,99.96,14.666666666666666,1.5833333333333333
2015,110413823841.592,0.0256797315749874,0.2204951709718625,0.0871366917317599,20.779613657394545,31.693828935588325,9.274212419744176,45.529918707370825,4.34458297635238,2.94611108390154,30.1771882324678,11.7961931846113,2140.7,1.5579071134626,14.984152955286,-2.0,108.01,16.5,1.3333333333333333
2016,111572947004.917,0.0256797315749874,0.1900807093102639,0.0364599831718301,26.258549775343045,32.27165021336538,9.48499526268596,43.936401442421925,0.52118550608968,1.93000540251056,31.9579912798641,10.3219651103177,936.0,1.63531114327064,14.7595291382492,-3.8,92.03,16.0,0.8333333333333334
2017,118540573367.844,0.0256797315749874,0.2043705618742325,0.063270502059967,18.1864442319686,32.67319576537459,9.738785491799108,44.19263373403203,5.05789816173446,2.26092196120538,31.658071451264,11.1602887992375,1757.4,0.754663249323619,14.5941970328011,-3.2,108.67,18.33333333333333,1.1666666666666667
2018,127341147581.818,0.0256797315749874,0.2181467758929323,0.0361111718683482,31.416091848826863,29.87375777004624,8.476404706732643,40.57207580786718,3.06564133025955,2.78337936840164,32.1395672992051,11.3055402401365,2263.2,1.80391671141896,14.8703562557049,-4.9,115.89,21.916666666666668,1.1666666666666667
2019,128920266409.458,0.0271851502566857,0.2005479939474115,0.0667116949081837,19.71456311881025,32.51214031391044,9.142077352419106,43.07278599094394,2.89097476137077,1.33479789567415,30.594933523466,10.8424017370039,1453.6,0.303386036590383,14.7633235363387,-3.4,110.86,25.25,1.4166666666666667
2020,121353645057.144,0.0277150832500973,0.1938435536610848,0.0762458137948594,20.004989527799285,32.76049039345796,8.905962199172235,44.41557064414661,-7.17820744246774,1.16907334587558,28.7769734233308,10.6636401420592,747.4,0.705968661338261,15.177396164956,-1.2,99.7,24.5,1.5833333333333333
2021,142022058447.231,0.0277968592034936,0.2027216733725501,0.0450528972613086,21.42188915427499,31.99391710097548,9.300975821727263,43.20678136248608,8.15473889823681,1.59422321445366,30.6763551818437,11.9779439009277,2328.7,1.40195883962006,15.2356757950841,-2.3,116.58,29.25,1.4166666666666667
2022,131245312804.483,0.0256172341700845,0.1818018270279624,0.077896820142837,22.23815297006901,31.99827944083148,9.14087261682726,45.63750227538952,1.81269242194809,1.74814323662076,30.4603014984939,9.79618893785634,943.3,6.65704202759067,16.0498493107438,-3.5,106.07,34.916666666666664,1.9166666666666667
2023,146036093666.762,0.0270430826443817,0.1844504367438548,0.0642616780389413,17.896160487886835,32.19529687302982,9.441559706752594,43.79758146765204,3.65564411017931,0.725864122672683,28.9983598724931,11.1311743840061,1482.1,6.09114152504141,15.7918531548633,-1.0,106.07,38.75,1.8333333333333333
2024,160610994054.734,0.0280807508129579,0.1787306870043666,0.0572327133163624,19.91563818117842,30.143359515203016,8.281966535902962,41.23028526847117,3.79336515978963,1.02047789871899,30.0743550064848,10.5673287621047,1240.1,0.985256592004507,15.2654153716279,-1.2,106.07,40.5,1.25
